Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
Capital O 75224 Nandhana Comforts,"₹ 1,500",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,4.4, (Very Good),571,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,500"
MGM Mark Whitefield,"₹ 1,368",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 664 Off,4.1, (Very Good),990,25%,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,368"
Empire International Church Street,"₹ 1,343",Church Street | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 342 Off,3.9, (Good),277,32%,"['Business Centre', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,343"
Temple Tree Hotel - Wilson Garden,"₹ 1,879",Mavalli | 4.4 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 479 Off,4.6, (Excellent),10,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,879"
Capital O 490 Hotel Compact Maple Leaf,"₹ 1,674",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 414 Off,4.4, (Very Good),540,49%,"['Tours and Treks', 'Conference Room', 'ATM']",Bangalore,9/8/2021,11/8/2021,"1,674"
"Fortune Select Trinity Whitefield, Bengaluru-Member ITC Hotel Group","₹ 1,498",Brookefield,,4.1, (Very Good),586,34%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,498"
Blupetal - A Business Hotel,"₹ 2,162",Koramangala | 4.2 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 552 Off,4.1, (Very Good),478,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,162"
The Oterra Bangalore,"₹ 5,622",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,3.8, (Good),163,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"5,622"
Hotel Swagath,"₹ 1,187",Chickpete | 740 m from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 737 Off,3.7, (Good),547,45%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,187"
OYO Townhouse 180 Jayanagar,"₹ 1,454",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 359 Off,4.6, (Excellent),307,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,454"
The Windflower Resorts & Spa,"₹ 6,800",Navarathna Agrahara | 32.9 km from city centre12.9 km from Kempegowda Airport,,4.6, (Excellent),27,14%,"['Kids Play Area', 'Outdoor Sports', 'Lawn']",Bangalore,9/8/2021,11/8/2021,"6,800"
Hotel Bangalore Gate,"₹ 2,507",Chickpete | 1.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1217 Off,4.1, (Very Good),326,40%,"['Free Parking', 'Bonfire', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,507"
DoubleTree Suites by Hilton Bangalore,"₹ 2,494",HSR Layout,,3.3, (Good),128,51%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,9/8/2021,11/8/2021,"2,494"
SS Lumina Hotel,"₹ 1,091",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 529 Off,4.1, (Very Good),641,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,091"
Angsana Oasis Spa & Resorts,"₹ 6,750",Addevishvanathapura | 27.4 km from city centre,,4, (Very Good),216,24%,"['Free Parking', 'Kids Play Area', 'Childcare Services']",Bangalore,9/8/2021,11/8/2021,"6,750"
Mango Hotels - Purple Brigade,"₹ 2,394",Church Street | 360 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1856 Off,4.5, (Excellent),324,,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"2,394"
Renaissance Bengaluru Race Course Hotel,"₹ 4,276",Gandhi Nagar | 2.2 km from Kempegowda Bus Station,,4.2, (Very Good),70,43%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"4,276"
Pai Vista,"₹ 1,722",Kanakpura road,Exclusive Offer - HDFC Credit Card Users. Get INR 836 Off,3.9, (Good),524,29%,"['Free Parking', 'Conference Room', 'ATM']",Bangalore,9/8/2021,11/8/2021,"1,722"
Sheraton Grand Bangalore at Brigade Gateway,"₹ 2,800",Rajajinagar | 5.0 km from Lottegollahalli Railway Station,,4, (Very Good),294,40%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,800"
Southern Star Bangalore,"₹ 2,066",Ashok Nagar | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1247 Off,4.5, (Excellent),158,15%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"2,066"
Icon Premier Hotel by Bhagini,"₹ 2,029",Outer Ring Road | 620 m from RMZ Ecospace,Exclusive Offer - HDFC Credit Card Users. Get INR 1261 Off,4.3, (Very Good),184,28%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,029"
OYO 11915 Varcity Park,"₹ 1,645",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 406 Off,4.5, (Excellent),393,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,645"
Liwa - The Transit Hotel,"₹ 1,291",Yashoda Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 626 Off,3.7, (Good),561,51%,"['Lounge', 'Outdoor Sports', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,291"
Arna Hotel,"₹ 1,688",Sonnapanahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 820 Off,4.1, (Very Good),370,32%,"['Free Parking', 'Free Shuttle Service', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,688"
Regenta Inn Indiranagar,"₹ 1,993",Binnamangala,Exclusive Offer - HDFC Credit Card Users. Get INR 868 Off,2.8,,262,51%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,993"
OYO 5964 near Manyata Tech Park,₹ 889,Jakkur | 4.5 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 219 Off,3.8, (Good),499,28%,"['ATM', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,889
Grand Seasons - The Business Hotel,"₹ 1,266",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 615 Off,4.3, (Very Good),105,16%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,266"
